Class	Text
Habitat	" woodlands, forest clearings, trails and roadsidesand adjacent disturbed, grassy areas;  Although it frequents shady woodlands, it regularly strays into nearbyresidential gardens.  Adults have a low, erratic flightand bob slowly among understory vegetation and tallgrass. Between periodic bursts of activity, adults perchon grasses or leaf litter"
Habitat	 open grassy areas in or near woodlands andalong stream corridors
Habitat	"moist woodlands, stream corridors and swamps;  Named for the region from which it wasfirst described, the Carolina Roadside-Skipper is a butterfly of dense wet woods, forested swamps andstream corridors that support stands of cane.;  Adults areoften encountered in sunlit clearings or margins wherethey tend to alight on vegetation."
Habitat	" open woodlands, forest edges, roadsides, wetland edges, swamps, stream corridors and old fields;  It regularly explores the surrounding landscapeand may show up occasionally in suburban yards orgardens."
Habitat	" open areas within woodlands, pine barrens, utility easements and recently cleared or burned sites;  On the wing for a singlespring flight, look for it in clearings, disturbed areas orother grassy sites in close association with stands ofits larval hosts"
Habitat	" moist areas in or near deciduous woodlands,wet meadows, marshes, forest edges, stream corridors, roadsides, pastures, utility easements and oldfields; Although it prefers moist,grassy or sedge-dominated areas associated withdeciduous woods, it frequently ventures into surrounding areas, and is periodically encountered in homegardens. Males occasionally visit damp ground."
Habitat	"moist woodlands, stream corridors and swamps;  It,too, is a butterfly of wet woodlands, forested swampsand stream corridors that support abundant stands ofcane"
Habitat	"open woodlands, forest edges and clearings,roadsides, moist woodland depressions;  Adults scurry lowto the ground along forest trails or margins"
Habitat	" marshes, forest edges and pinelands;  A large skipper of coastal marshes and pineforests, it occasionally shows up in home gardens."
Habitat	" wet meadows, marshes and swamps nearwoodlands"
Habitat	" open, disturbed sites including roadsides,vacant or weedy fields, coastal dunes, forest edgesand gardens"
Habitat	"open, disturbed sites including roadsides, vacantfields, utility easements and fallow agricultural land"
Habitat	" open, disturbed sites including roadsides,vacant lots and old fields; "
Habitat	" open, deciduous woodlands, forest edges andtrails, roadsides, brushy fields, utility easements,wooded swamps and gardens; It may frequentlywander into nearby suburban yards and gardens."
Habitat	" open, deciduous woodlands, forest edges, roadsides, old fields and utility easements and gardens;  Adults ofthis small dusty blue butterfly are found in and alongwoodlands but readily venture out into nearby openareas in search of nectar and frequently wander Intosuburban gardens.  Unlike most other blues, they are oftenencountered fluttering high among the branches oftrees and shrubs. Males often congregate at dampground."
Habitat	" moist openings or clearings in deciduous woodlands, utility corridors, forested roads and brushy fields;  It is typically encountered in clearings in ornear deciduous woods, often alongside several of theearly-season azures. "
Habitat	" moist, cool shaded woodlands, forest trails,woodland roads and stream corridors; moist, deciduous forests of the western Carolinas; Males oftengather in numbers at mud puddles along stream banksor unpaved woodland roads"
Habitat	" forest edges and clearings, woodland trails, oakhammocks, scrub and adjacent open areas;  Adults readily explore openareas adjacent to their woodland habitats for availableflowers."
Habitat	"woodland edges, adiacent open areas, gardensand parks;  It typically dwells high upin the canopy close to its mistletoe host. Nonetheless,adults readily come down to feed on available flowersand can be closely observed; "
Habitat	best sought at liverwort beds 
Habitat	best sought at liverwort beds 
Habitat	Liverwort Beds
Habitat	Liverwort Beds
Habitat	 moist dense woodlands;  It is an inhabitantof moist woodlands and associated margins or roadsides with cane. 
Habitat	" open sites in or near woodlands including clearings, trails, old fields, pastures and forest margins"
Habitat	" open, disturbed sites including roadsides, oldfields, forest edges, meadows and gardens; The Southern Cloudywing frequents forestedges and open disturbed sites but is also a regulargarden visitor.;  Males perch on low vegetation "
Habitat	" open upland woodland, forest edges and clearings, barrens and old fields;  It is a rare to uncommon butterflythroughout its range and typically found in isolated,sporadic colony sites. In the Carolinas, the MottledDuskywing can be encountered in habitats where theterrain is somewhat hilly and undulating"
Habitat	" open woodlands, forest clearings, forest edges,roadsides, utility easements and old fields;  along trails or clearings;  It readily visits nearbygardens"
Habitat	"moist woodlands, stream corridors and associated shady grassy areas"
Habitat	" oak woodlands, oak scrub, forest edges, woodland clearings, roadsides and utility easements;  This abundant skipper commonly wandersinto disturbed sites near its habitat In search of nectar.It is often a common garden visitor."
Habitat	" open woodlands, forest edges and clearings,roadsides, utility easements, old fields and roadsides"
Habitat	"A butterfly of pine and oak barrens andadjacent meadows;  sandy pine barrens, woodland meadows"
Habitat	" This small woodland skipper;   open woodlands, forest edges, clearings andtrails, roadsides and along forested stream margins"
Habitat	" open oak woodlands and scrub, forest edgesand clearings, roadsides and adjacent open sites"
Habitat	" The Yehl Skipper is rare to uncommon largebutterfly of southeastern forested swamps or moistwoodlands. It is most frequently encountered in sunlitclearings, margins or roadsides;  forested swamps and associated clearings andmargins"
Habitat	" A butterfly of open, dry habitats, theDusted Skipper is uncommon and typically quite localized in occurrence; dry habitats including open woodlands, barrens,utility easements and old fields"
Habitat	" A butterfly of open, dry habitats, theDusted Skipper is uncommon and typically quite localized in occurrence.; dry habitats including open woodlands, barrens,utility easements and old fields"
Habitat	" open wet meadows in sandhills; An inhabitant of moist, open meadows with fewtrees,"
Habitat	" Itreadily ventures into disturbed sites near its habitatand shows up occasionally in home gardens. TheHoary Edge is common, but rarely found in any largenumbers;  open, sandy woodlands, forest edges and adjacent disturbed, brushy areas"
Habitat	"open, moist, grassy areas, wet meadows, pinesavannas, roadsides"
Habitat	" Although only recently established in southFlorida, the Dorantes Skipper is now a common butterfly of forest edges and adjacent open, disturbed sitesthere. It is an uncommon vagrant to South Carolina.;  It is often abundant inhome gardens.; open woodlands, roadsides, old fields, fallowagricultural land, utility easements, forest edges andgardens"
Habitat	"Generally uncommon in the Carolinas, it may beencountered in large open fields that support tailgrasses.;  open, grassy areas including old fields, roadsides, wet meadows, woodland clearings and margins"
Habitat	"The butterfly can be encountered in a wide range ofhabitats including suburban gardens.;  marshes, pond margins, forest edges, roadsides, old fields, utility easements and gardens"
Habitat	" woodlands, forest clearings and margins"
Habitat	"oak woodlands, forest edges, woodland clearings, roadsides and utility easements;  A common spring species, Juvenal'sDuskywing darts up and down sunlit trails;  "
Habitat	" open upland woodland, forest edges and clearings, roadsides, utility easements and old fields"
Habitat	" moist woodlands, stream corridors, wetlandmargins"
Habitat	" open, disturbed sites including roadsides, oldfields, fallow agricultural land, utility easements, forestedges and gardens; They are fond of flowers and oftenabundant in home gardens.; "
Habitat	" rich, deciduous woodlands, stream corridors,forest edges, woodland clearings and adjacent openbrushy areas"
Habitat	" shady woodlands, forest edges and adjacentopen areas"
Habitat	" Primarily a tropical butterfly, it is a seasonal Carolines colonist and unable tosurvive freezing temperatures in any life stage.; marshes, pond edges, parks, gardens and various urban areas"
Habitat	" Often spotty and localized, it prefersmoist, shaded habitats;  wooded swamps, moist, grassy glades, streamcorridors and forest margins"
Habitat	" forest edges, open woodlands, roadsides, utilityeasements, old fields and gardens;  It is a commongarden visitor."
Habitat	" It is fond of open, sunny locationswith low-growing vegetation and may be an occasionalgarden visitor.;  fields, pastures, roadsides, fallow agriculturalland, gardens, open pineland, disturbed sites"
Habitat	" It is aninhabitant of open pine woodlands that support its larval host;  dry woodlands, pinelands and scrub"
Habitat	"moist, shady woods, stream corridors, marshedges and semi-open grassy areas along forest edges"
Habitat	" Though it prefers shady woodlands, it may show up in suburban yards or parks.; moist, rich woodlands, forest margins and clearings, stream corridors, parks and yards"
Habitat	" The Common Wood Nymph is a mediumsizedbutterfly primarily encountered in open, grassymeadows and fields, though it may also be found inforest clearings and margins.; open woodlands, forest edges, marshes, grassyfields and roadsides"
Habitat	" It prefers moist shady areas and is typically found in close association with its larval host.;  moist, shaded woodlands, stream corridors andswamp margins"
Habitat	" rich, moist deciduous woodlands, forest clearings and margins, stream corridors, parks and yards;  It is seldom found far from stands of its larval hosts."
Habitat	" dry woodlands, pinelands and scrub; Males perch on vegetation along trails or clearings andactively defend their territory."
Habitat	" It seldom wanders far from stands of its larvalhost.; moist, shaded woodlands, dense uplandforests, stream corridors and swamp margins"
Habitat	" deciduous or mixed forests, clearings, woodland roads, forest edges and adjacent open areas"
Habitat	" woodlands, pastures, forest edges, stream corridors, open pinelands and suburban gardens;  GiantSwallowtail larvae, often called ""orange dogs""because of their fondness for citrus, occasionallybecome minor pests in commercial orange groves."
Habitat	" It occasionallyvisits home gardens.; open, grassy areas including roadsides, utilityeasements, old fields, meadows and forest edges"
Habitat	" open grassy areas, pine savannas, moist meadows and forest edges;  It typically occurs in spotty,localized colonies in close association with its sole larval host, but may be common when encountered.;"
Habitat	"moist, grassy areas including roadside ditches,utility easements, wet meadows, pond edges and oldfields"
Habitat	" the butterflyis more likely to be found in dryer areas of opengrassy habitat.;  open, grassy areas including roadsides, utilityeasements, old fields, meadows and pastures"
Habitat	" It remainsclose to its low-growing host, but may be an occasional garden visitor.; open, disturbed sites including roadsides, oldfields, moist ditches, utility easements, fallow agricultural land and pond edges"
Habitat	"open, grassy areas including old fields, roadsides, vacant lots, open woodlands, forest edges,parks, lawns and gardens; "
Habitat	"Avidly fond of flowers, the butterflyis a frequent garden visitor.;  open, disturbed areas including old fields, roadsides, vacant lots, open woodlands, forest edges,parks, lawns and gardens"
Habitat	" This argument is fueled by the species'unique preference for open, disturbed habitats and primary use of a weedy, non-native larval host.;  open, disturbed sites, old fields, utility easements, roadsides, pastures and meadows"
Habitat	" forest edges, moist woodlands and associatedclearings, trails, waterways and roads"
Habitat	"from damp meadows to coastal marshes, the butterflyfrequently finds its way into suburban yards; open woodlands, forest edges, roadsides, pastures. wetland edges and old fields"
Habitat	" Males perch on sunlitbranches along trails or clearings and engage passingobjects or rival males. Females generally prefer toremain within the confines of nearby shady sites.;  open woodlands, forest edges, roadsides, pastures, wetland edges, stream corridors and old fields"
Habitat	" Itfrequents open deciduous woodlands and adjacent disturbed areas including utility easements and loggef^sites.;  open woodlands, stream corridors, forestedges, and adjacent dry, open, grassy areas, utilityeasements and previously burned sites"
Habitat	" open, disturbed areas including old fields, pastures, roadsides, parks, lawns and gardens;  The Sachem shares its affinity for open, disturbed Sites with the Whirlabout and Fiery Skipperwith which it often flies. "
Habitat	"Limited byhabitat, it typically occurs in isolated, localized coloniesin close proximity to undisturbed stands of its larvalhosts.;  pine flatwoods, sandhills and barrens"
Habitat	" woodland clearings and margins, pastures, oldbrushy fields and forest meadows; "
Habitat	" open woodlands, forest clearings and margins,and adjacent open areas;  I attracted thisbeautiful skipper to my garden in southeastern SC onseveral occasions!"
Habitat	" open, sunny locations including roadsides, oldfields, utility easements, forest edges and gardens"
Habitat	" Rare and extremely localized, it is an inhabitantof coastal saltwater marshes but may occasionally hefound in inland wetlands.;  coastal salt marshes, some inland freshwatermarshes"
Habitat	" This small woodland skipper;  open woodlands, forest edges, clearings andtrails, roadsides and along forested stream margins"
Habitat	" woodland openings, pastures and hillsides"
Habitat	"The Yehl Skipper is rare to uncommon largebutterfly of southeastern forested swamps or moistwoodlands.;  It is most frequently encountered in sunlitclearings, margins or roadsides.; forested swamps and associated clearings andmargins"
Habitat	Another large skipper of open swamps andmarshes; They do not wander far from their wetlandhaunts.
Habitat	" old fields, meadows, pastures and roadsides;  As its name suggests, the Meadow Fritillaryinhabits a variety of open, sunny landscapes frommoist pastures to old fields and is quite tolerant of disturbed sites"
Habitat	"it is restricted to wetlands and their associated margins. Occurring in spotty and highly localized colonies, it isseldom encountered in large numbers;  swamps, wetland margins including pondedges and along canals"
Habitat	" The Byssus Skipper is a butterfly of salt andbrackish water marsh edges along the Atlantic CoastalPlain from North Carolina south to Florida. It shares itspreference for this unique wetland habitat with thesimilar but much larger Rare Skipper with which itoccasionally flies,"
Habitat	" Duke's Skipper is a denizenof shaded southern swamps and marshes, but mayoccasionally be encountered along wet roadsideditches if sedges are present.;  shaded swamps and marshes and moist roadside ditches"
Habitat	"open, disturbed sites including roadsides,vacant fields, agricultural land, parks and gardens;  The Sleepy Orange isa frequent garden visitor;"
Habitat	" This large checkerspot is a spotty but oftenlocally common resident, primarily limited to the western mountainous portions of the Carolinas.; It is most frequently encountered in moist woodland openings oralong forested streams in close proximity to its larvalhosts.;  moist woodland openings, forest margins,stream corridors, semi-open areas near moist deciduous forest, and mesic fields"
Habitat	" moist semi-open woodlands, stream margins"
Habitat	" This is a large, somewhat distinctive skipper often common in freshwater and brackish marshesalong coastal portions of the Carolinas.;  forested swamps and associated clearings andmargins"
Habitat	" The Rare Skipper is a large golden orangsbutterfly entirely restricted to brackish coastalmarshes. It occurs in small, highly localized and spoffVcolonies, but may be fairly common when encountered. A great many of its typical haunts are somewhatinaccessible to humans.;  brackish coastal marshes"
Habitat	" The Palatka Skipper, also called theSawgrass Skipper, is generally found in close proximityto Its larval host.;  wetlands, coastal freshwater and brackishmarshes"
Habitat	" It is an occasional garden visitor;  The medium-sized Variegated Fritiilaryshares its affinity for open, sunny habitats with thesimilar-looking Gulf Fritiilary but is generally less common and highly localized in occurrence.; open, sunny sites including roadsides, pastures,old fields and utility easements"
Habitat	" The Orange Sulphur can be found in virtually any open landscape and is particularly abundant inand around cultivated alfalfa fields, where it occasionally can become a serious pest; open, sunny sites including roadsides, oldfields, alfalfa fields, pastures and home gardens"
Habitat	"open, disturbed sites including roadsides, oldfields, fallow agricultural land, pastures, utility easements and gardens"
Habitat	"open, disturbed sites including roadsides, old fields, pastures, utility easements and gardens"
Habitat	" higher elevation deciduous and mixed forests,riparian woodlands, woodland roads, forest edges andadjacent open brushy areas; Green Comma overwinters as an adult, hibernating inlog piles, tree hollows or even within manmade structures,"
Habitat	"deciduous forests, riparian woodlands, forestroads and edges and adjacent open brushy areas;  The Eastern Comma survives the winter asan adult, hibernating in log piles, tree hollows or evenwithin manmade structures;  A woodlandbutterfly, it inhabits riparian forests, clearings and adjacent open, brushy areas."
Habitat	" Infrequent and somewhat reclusive, the Gray Common occurs in small, highlylocalized colonies. It is most often encountered as asingle, isolated individual along woodland trails, clearings or roadsides.; deciduous woodlands, clearings, woodlandroads, forest edges and adjacent open brushy areas"
Habitat	" dry pinelands, woodland edges and adjacentopen areas"
Habitat	" deciduous forests, moist woodlands, forestedges and adjacent open areas"
Habitat	"In mild years, it might survive thewinter along extreme southern coastal portions ofSouth Carolina, but is typically a seasonal colonist;   It is oneof several migratory species in the Southeast. Duringthe fall, adults migrate southward in large numbersand overwinter in southern portions of Florida;  an abundantgarden visitor.;  open, disturbed sites including roadsides, oldfields, utility easements, parks and gardens"
Habitat	" The colorful Viceroy is usually found in wetland areas close to its larval host.; pond edges, wetlands, roadside ditches andmoist areas supporting willows"
Habitat	" Abutterfly of open areas, it frequents old fields, meadows, open woodlands and forested roadsides where itis an avid flower visitor; open woodlands, fields, moist meadows, pastures and roadsides"
Habitat	"It is a frequent garden visitor;  savannas, pastures, pinelands, roadsides, oldfields, utility easements, coastal areas and gardens"
Habitat	" open, sunny sites including roadsides, pastures,old fields, wet meadows and utility easements closeto wooded sites"
Habitat	"wet fields, marshes, meadows and grasslands"
Habitat	"abundant garden visitors.; open, sunny locations including old fields, roadsides, pinelands, utility easements, sandhills, fallowagricultural land and gardens"
Habitat	"rich, moist deciduous mountain woodlands,stream corridors, forested roads, clearings and adjacent open areas; "
Habitat	"woodland edges and adjacent disturbed, brushyareas, suburban gardens"
Habitat	" It typically occurs in small,isolated colonies that are often best discovered by firstlocating patches of its larval host; moist, cool, shaded, deciduous woodlands, forest trails, woodland roads, shaded ravines, woodedridgetops and stream corridors"
Habitat	"It is extremely fond of flowers and a frequent garden visitor.; open, disturbed sites including roadsides, fallowagricultural land, old fields and gardens"
Habitat	"It is a denizen ofmixed hardwood forests where it frequents woodlandroads or sunlit trails. The relative scarcity of adult sightings is likely due to their preference for spending timehigh in the canopy of mature host trees. As the larvaefeed on primarily on developing nuts, stands of youngtrees are not utilized.;  hardwood forests and clearings, along woodland margins, sun dappled trails, stream corridors androadsides"
Habitat	" This rare hairstreak is a denizen of Atlanticwhite cedar swamps and adjacent woodlands. Oncecommon along the outer Coastal Plain, much of thisbutterfly's freshwater wetland habitat has already disappeared due to extensive logging, fire suppression,hydrologic alteration, and unabated coastal development. As a result, Hessel's Hairstreak now occurs inisolated, highly localized colonies in  often widelyspaced pockets of remnant habitat.; swamps, bogs and adjacent woodlands"
Habitat	"This diminutive, reclusive butterfly, althoughwidespread, typically occurs in spotty, localizedcolonies but can be quite abundant when encountered. It is always found in extremely close associationwith stands of Eastern Redcedar. This relationship isso intimate that the butterfly spends the majority of itsadult life directly on host trees, leaving only occasionally to nectar at nearby blossoms or disperse topioneer new colonies. ; old fields, forest edges, rocky outcrops, coastalareas, dry hillsides, bluffs, rural roadsides, windbreaks,old historical properties and even cemeteries"
Habitat	Introduced from E. Asia
Habitat	Introduced from E. Asia
Habitat	" open, disturbed sites including roadsides, oldfields, utility easements and fallow agricultural land"
Habitat	" open, disturbed sites including roadsides, oldfields, utility easements and fallow agricultural land"
Habitat	" open, disturbed sites including roadsides, oldfields, utility easements and fallow agricultural land"
Habitat	" The Barred Sulphur is a common butterflyof open, weedy sites throughout the Deep South.; open, disturbed sites including roadsides, pastures, utility easements, vacant fields, pond margins"
Habitat	" Flying only in early spring, and oftenhighly localized, the butterfly rarely ventures far frompopulations of Its larval host;  rich, moist deciduous woodlands, forest edges,and adjacent meadows or open areas;  colonize nearby scattered patches ofavailable woodland or second growth forest"
Habitat	" Although considered a forestspecies, it avoids dense shade and is typically associated with open, thin woods and adjacent clearings.;  lowland forested stream corridors, hilltops,roadsides, open deciduous forests and pine-oak woodlands, and associated margins and clearings"
Habitat	"A butterfly of dry, weedy sites;  open, disturbed sites including roadsides, pastures, utility easements, vacant fields, agricultural land"
Habitat	"open, disturbed sites including roadsides, oldfields, utility easement, agricultural land and gardens"
Habitat	" open sites including roadsides, coastal dunes,salt marshes, vacant fields, agricultural land"
Habitat	" open, disturbed sites including wet ditches,roadsides, pond edges, old fields and gardens"
Habitat	" A butterfly of open, sunny habitats, the Clouded Sulphur can be commonlyencountered. It is generally most abundant in commercial clover or alfalfa fields, where it may occasionallybecome a serious pest.;  open, sunny sites including roadsides, fields,alfalfa fields, parks, vacant lots, pastures, gardens"
Habitat	"open, disturbed sites including roadsides, pastures, utility easements, vacant fields, agricultural landand canal banks"
Habitat	" open, disturbed sites including roadsides, pastures, utility easements, vacant fields, agricultural landand open sandhills"
Habitat	" open, disturbed sites including roadsides, pastures, utility easements, vacant fields, pond margins"
Habitat	"open, dry sites including pastures, pineland, oakscrub, old fields and roadsides"
Habitat	" A butterfly of open, sunny habitats, the Clouded Sulphur can be commonlyencountered. It is generally most abundant in commercial clover or alfalfa fields, where it may occasionallybecome a serious pest.;  open, sunny sites including roadsides, fields,alfalfa fields, parks, vacant lots, pastures, gardens"
Habitat	" open, disturbed sites including roadsides,vacant fields, agricultural land, parks and gardens"
Habitat	" Unlike manybutterfly species, it is at home in more urban locationssuch as parks, gardens and even landscape nurserieswhere its ornamental larval hosts are commonly found.;  open, disturbed sites and urban areas"
Habitat	" A common and conspicuous garden visitor, adults are readilydrawn to available flowers;  mixed forests, wooded swamps, forest edges,suburban gardens, old fields"
Habitat	Several species bore into commercial fruit trees.
Habitat	Several species bore into commercial fruit trees.
Habitat	Sometimes they can be found resting outdoors on walls or among plants during the daytime.
Habitat	Sometimes they can be found resting outdoors on walls or among plants during the daytime.
Habitat	Some can be found indoors as adults and may been countered year-round.
Habitat	Some can be found indoors as adults and may been countered year-round.
Habitat	and can sometimes be seen fluttering above lily pads or other vegetation in ponds.
Habitat	and can sometimes be seen fluttering above lily pads or other vegetation in ponds.
Habitat	Common in a variety of habitats...White-Spotted Sable is diurnal and usually found at flowers or among vegetation during the day. Celery Leaftier and Lucerne Moth are also commonly disturbed from low vegetation during the daytime.
Habitat	Common in a variety of habitats...White-Spotted Sable is diurnal and usually found at flowers or among vegetation during the day. Celery Leaftier and Lucerne Moth are also commonly disturbed from low vegetation during the daytime.
Habitat	NOTE;Often frequents roadside puddles during daytime.
Habitat	NOTE;Often frequents roadside puddles during daytime.
Habitat	Can be flushed from sedge meadows in daytime.
Habitat	Can be flushed from sedge meadows in daytime.
Habitat	"Most are woodland species,though some can be found in gardens, even in urban areas. The group is largely nocturnal and will come freely to lights,though a small number are diurnal and are to be sought along wood land trails or around bogs and fens."
Habitat	"Most are woodland species,though some can be found in gardens, even in urban areas. The group is largely nocturnal and will come freely to lights,though a small number are diurnal and are to be sought along wood land trails or around bogs and fens."
Habitat	Often seen during daytime along wooded trails
Habitat	Often seen during daytime along wooded trails
Habitat	Sometimes active during daytime.
Habitat	Sometimes active during daytime.
Habitat	"Roadsides, gardens, open woods, brushy areas, disturbed areas. Likely to be found almost anywhere."
Habitat	"Open areas, agricultural areas, roadsides, old fields, disturbed sites, forest edges.The Long-tailed Skipper is a perching species, males take stations several feet above ground on plants along forest edges or in brushy areas"
Habitat	"Tropical hardwoods, roadsides, brushy fields, forest edges.Males take stations in brushy areas and along wooded edges to await passing females."
Habitat	"Wooded areas, especially ravines with streams and other wet areas. Along roadsides and trails in forested areas.male taking station on rocks or on vegetation several feel above ground."
Habitat	"Edge of woods, forest clearings and glades, open trails and powercuts, brushy fields, and open areas near woods.The perching site is within a few feet from the ground in a sunny spot, often on a twig or other exposed site."
Habitat	"Open areas, meadows, roadsides, powerline cuts, pastures, barrens, prairies, woods, often along streams.Males are territorial, perching on conspicuous objectsAdults often take moisture from damp soil."
