Record ID	Book	Habitat	WGS_cont	WGS_contsub	WGS_province1	WGS_province2			
15905	Butterflies of the Carolinas	" mixed forests, wooded swamps, forest edges,suburban gardens, old fields;  It is fond ofwoodlands and waterways, but is equally at home inmore urban areas. A common and conspicuous gardenvisitor;  often soar high in the treetops"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15906	Butterflies of the Carolinas	" wooded swamps, hammocks, forest edges,suburban gardens, moist woodlands and evergreenswamps; the Palamedes Swallowtail is abundant in moistlowland woodlands and evergreen swamps. It may becommonly encountered in suburban gardens or alongroadsides."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15907	Butterflies of the Carolinas	" fields, gardens, woodland edges, suburbanparks, disturbed sites; preference for open areas"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15911	Butterflies of the Carolinas	 salt marshes and adjacent coastal areas	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15912	Butterflies of the Carolinas	"open, disturbed sites including roadsides,vacant lots and old fields;  Males often gather in small clusters on dampground."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15913	Butterflies of the Carolinas	open pine woodlands	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15914	Butterflies of the Carolinas	" open woodlands, forest margins and clearings,scrub and bogs;  it seldom wandersremains Stands of its larval hosts; generally remain close to the ground,perching on low vegetation or resting on the ground itself."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15915	Butterflies of the Carolinas	" open woodlands, forest margins and clearings,open, brushy fields, roadsides and scrub"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15916	Butterflies of the Carolinas	" stream corridors, wet meadows, fields, pastures and suburban yards;  frequently encountered in suburban locations including home gardens."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15917	Butterflies of the Carolinas	" open woodlands, forest margins and clearings,open, brushy fields, roadsides, scrub and utility easements;  Inhabiting a variety of open and semi-open landscapes that support stands of hard pines, the butterflyis commonly found in close association with youngertrees. Adults spend much of their time perched onhost branches, often high above the ground, but frequently venture down to nectar at nearby blossoms orsip moisture at damp soil."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15918	Butterflies of the Carolinas	" deciduous woodlands, forest edges and clearings, shrubby areas, old fields and roadsides;  Found in variety of semi-open areas, thisspring species rarely strays far from stands of its larvalhost."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15919	Butterflies of the Carolinas	" woodland margins, wet meadows, stream margins;   itis a butterfly of wet habitats preferring moist meadows, forest glades, and stream corridors.; The adults are not strongly restricted towet sites and often wander extensively into nearbyhabitats in search of nectar."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15920	Butterflies of the Carolinas	" overgrown fields near forest margins, brushywoodland clearings, shrubby roadsides and trails, andunmanaged pastures or fencerows;  It frequents a variety of semi-open, brushy habitats in closeassociation with its somewhat weedy, thicket-forminghosts;  readily perch on the top of small treesor shrubs."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15921	Butterflies of the Carolinas	" open, grassy areas including old fields, roadsides, vacant lots, pineland edges and clearings, andutility easements;  Adults avidly visit available flowers andfrequent home gardens."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15922	Butterflies of the Carolinas	" oak woodlands, thickets and scrub, forest margins, roadsides, utility easements and trail edges"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15923	Butterflies of the Carolinas	"mixed deciduous forests, clearings, roads andmargins, and adjacent open, often brushy, areas; A butterfly of mixed deciduous forests andsecond growth woodlands"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15924	Butterflies of the Carolinas	" hardwood forests, stream margins and woodedswamps; Restricted to the shady confinesof hardwood forests and wooded swamps, it occurs inhighly localized populations in close association withits sole larval host;  Adults frequently perchon broad sunlit leaves but seldom venture into nearbyopen landscapes."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15925	Butterflies of the Carolinas	" mixed deciduous forests, oak woodlands, forestclearings, roads and adjacent open areas;  theBanded Hairstreak is closely associated with mixedhardwood forests and can frequently be found alongwoodland edges or in sunlit clearings;  Males perch on shrubs or low, overhanging limbs and aggressively defend establishedterritories by engaging passing intruders."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15926	Butterflies of the Carolinas	" dry. grassy areas including old fields, woodlandmeadows, pastures, forest clearings and easements; the Crossline Skipper canoften be readily distinguished from its relative on thebasis of habitat, preferring drier, open areas. Thespecies may be frequently encountered in more suburban locations including home gardens and lawns"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15927	Butterflies of the Carolinas	" open grassy areas including pastures, roadsides, old fields, wet meadows, marshes, utilityeasements and lawns; fleck's Skipper is a butterfly of open, often moistgrassy areas;  It tolerates a wide range ofhuman-disturbed, grassy areas including roadsides andsuburban lawns."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15928	Butterflies of the Carolinas	" open, disturbed areas including old fields, roadsides, vacant lots, open woodlands, forest edges,parks, lawns and gardens; Avidly fond of flowers, the butterflyis a frequent garden visitor."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15929	Butterflies of the Carolinas	" woodland edges, oak scrub, adjacent open areas"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15930	Butterflies of the Carolinas	" woodland edges, oak scrub, adjacent open areas"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15931	Butterflies of the Carolinas	"mixed deciduous forests, thickets, forest clearings, woodland edges and adjacent open areas"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15932	Butterflies of the Carolinas	" open grassy areas in or near woodlands andalong stream corridors; onetheless, this denizen of grassy woodland clearings, forest margins and stream corridors israther localized in occurrence and seldom encounteredin large numbers."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15933	Butterflies of the Carolinas	" sunlit wooded stream margins, weedy disturbed sites, fallow agricultural land, forest edges andgardens; A butterfly of open, disturbed sites including suburbangardens, it is often found in close association with itsintroduced weedy larval host."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15934	Butterflies of the Carolinas	" salt marshes and adjacent open areas, roadsides;  it is a locally common inhabitant ofcoastal salt marshes;  frequently visit available flowers along nearbyroads or in adjacent fields."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15935	Butterflies of the Carolinas	" open woodlands, forest edges, roadsides, pastures, wetland edges, stream corridors and old fields;  Primarily a butterfly of woodlands andAdjacent open sites, it occasionally wanders into suburban gardens.; Males perch on sunlitranches along trails or clearings and engage passingobjects or rival males. Females generally prefer toremain within the confines of nearby shady sites."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15936	Butterflies of the Carolinas	" open, sunny areas near woodlands includingforest clearings and margins, roadsides, fallow agricultural land, pastures, old fields and gardens;  Encountered in open habitats bordering woodlands, it readily ventures into nearbygardens in search of nectar."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15937	Butterflies of the Carolinas	" moist woodlands, forest edges, wetlands, roadsides, pastures, old fields and gardens;  It is a frequent garden visitor."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15938	Butterflies of the Carolinas	"moist, open woodlands, forest edges, wetlands, roadsides, pastures, old fields and gardens;  It regularly explores areas adjacent to its preferred moistwoodland habitat;  It is not commonlyencountered in home gardens. Males perch on lowgrowing vegetation in sunny areas for females."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15939	Butterflies of the Carolinas	" open, disturbed areas including old fields, pastures, roadsides, parks, lawns and gardens;  The Sachem shares its affinity for open, disturbed sites with the Whirlabout and Fiery Skipperwith which it often flies"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15940	Butterflies of the Carolinas	" woodlands, forest clearings, trails and roadsidesand adjacent disturbed, grassy areas;  Although it frequents shady woodlands, it regularly strays into nearbyresidential gardens.  Adults have a low, erratic flightand bob slowly among understory vegetation and tallgrass. Between periodic bursts of activity, adults perchon grasses or leaf litter"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15941	Butterflies of the Carolinas	 open grassy areas in or near woodlands andalong stream corridors	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15942	Butterflies of the Carolinas	"moist woodlands, stream corridors and swamps;  Named for the region from which it wasfirst described, the Carolina Roadside-Skipper is a butterfly of dense wet woods, forested swamps andstream corridors that support stands of cane.;  Adults areoften encountered in sunlit clearings or margins wherethey tend to alight on vegetation."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15943	Butterflies of the Carolinas	" open woodlands, forest edges, roadsides, wetland edges, swamps, stream corridors and old fields;  It regularly explores the surrounding landscapeand may show up occasionally in suburban yards orgardens."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15944	Butterflies of the Carolinas	" open areas within woodlands, pine barrens, utility easements and recently cleared or burned sites;  On the wing for a singlespring flight, look for it in clearings, disturbed areas orother grassy sites in close association with stands ofits larval hosts"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15946	Butterflies of the Carolinas	" moist areas in or near deciduous woodlands,wet meadows, marshes, forest edges, stream corridors, roadsides, pastures, utility easements and oldfields; Although it prefers moist,grassy or sedge-dominated areas associated withdeciduous woods, it frequently ventures into surrounding areas, and is periodically encountered in homegardens. Males occasionally visit damp ground."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15947	Butterflies of the Carolinas	"moist woodlands, stream corridors and swamps;  It,too, is a butterfly of wet woodlands, forested swampsand stream corridors that support abundant stands ofcane"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15948	Butterflies of the Carolinas	"open woodlands, forest edges and clearings,roadsides, moist woodland depressions;  Adults scurry lowto the ground along forest trails or margins"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15949	Butterflies of the Carolinas	" marshes, forest edges and pinelands;  A large skipper of coastal marshes and pineforests, it occasionally shows up in home gardens."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15950	Butterflies of the Carolinas	" wet meadows, marshes and swamps nearwoodlands"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15952	Butterflies of the Carolinas	" open, disturbed sites including roadsides,vacant or weedy fields, coastal dunes, forest edgesand gardens"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15953	Butterflies of the Carolinas	"open, disturbed sites including roadsides, vacantfields, utility easements and fallow agricultural land"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15954	Butterflies of the Carolinas	" open, disturbed sites including roadsides,vacant lots and old fields; "	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15955	Butterflies of the Carolinas	" open, deciduous woodlands, forest edges andtrails, roadsides, brushy fields, utility easements,wooded swamps and gardens; It may frequentlywander into nearby suburban yards and gardens."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15956	Butterflies of the Carolinas	" open, deciduous woodlands, forest edges, roadsides, old fields and utility easements and gardens;  Adults ofthis small dusty blue butterfly are found in and alongwoodlands but readily venture out into nearby openareas in search of nectar and frequently wander Intosuburban gardens.  Unlike most other blues, they are oftenencountered fluttering high among the branches oftrees and shrubs. Males often congregate at dampground."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15957	Butterflies of the Carolinas	" moist openings or clearings in deciduous woodlands, utility corridors, forested roads and brushy fields;  It is typically encountered in clearings in ornear deciduous woods, often alongside several of theearly-season azures. "	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15958	Butterflies of the Carolinas	" moist, cool shaded woodlands, forest trails,woodland roads and stream corridors; moist, deciduous forests of the western Carolinas; Males oftengather in numbers at mud puddles along stream banksor unpaved woodland roads"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15960	Butterflies of the Carolinas	" forest edges and clearings, woodland trails, oakhammocks, scrub and adjacent open areas;  Adults readily explore openareas adjacent to their woodland habitats for availableflowers."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15961	Butterflies of the Carolinas	"woodland edges, adiacent open areas, gardensand parks;  It typically dwells high upin the canopy close to its mistletoe host. Nonetheless,adults readily come down to feed on available flowersand can be closely observed; "	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
16009	Moths of Northeastern North America (Peterson Field Guide)	best sought at liverwort beds 	7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16009	Moths of Northeastern North America (Peterson Field Guide)	best sought at liverwort beds 	7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16012	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16012	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16022	Moths of Northeastern North America (Peterson Field Guide)	Liverwort Beds	7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16022	Moths of Northeastern North America (Peterson Field Guide)	Liverwort Beds	7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16023	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16023	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16024	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16024	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16025	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16025	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16026	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16026	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16027	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16027	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16028	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16028	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16029	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16029	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16030	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16030	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16031	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16031	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16032	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16032	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16033	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16033	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16034	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16034	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16035	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16035	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16036	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16036	Moths of Northeastern North America (Peterson Field Guide)		7 Northern America	 72 Eastern Canada	 75 Northeastern U.S.A.				
16037	Butterflies of the Carolinas	 moist dense woodlands;  It is an inhabitantof moist woodlands and associated margins or roadsides with cane. 	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
16038	Butterflies of the Carolinas	" open sites in or near woodlands including clearings, trails, old fields, pastures and forest margins"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
16039	Butterflies of the Carolinas	" open, disturbed sites including roadsides, oldfields, forest edges, meadows and gardens; The Southern Cloudywing frequents forestedges and open disturbed sites but is also a regulargarden visitor.;  Males perch on low vegetation "	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
16040	Butterflies of the Carolinas	" open upland woodland, forest edges and clearings, barrens and old fields;  It is a rare to uncommon butterflythroughout its range and typically found in isolated,sporadic colony sites. In the Carolinas, the MottledDuskywing can be encountered in habitats where theterrain is somewhat hilly and undulating"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
16041	Butterflies of the Carolinas	" open woodlands, forest clearings, forest edges,roadsides, utility easements and old fields;  along trails or clearings;  It readily visits nearbygardens"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
16042	Butterflies of the Carolinas	"moist woodlands, stream corridors and associated shady grassy areas"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
16043	Butterflies of the Carolinas	" oak woodlands, oak scrub, forest edges, woodland clearings, roadsides and utility easements;  This abundant skipper commonly wandersinto disturbed sites near its habitat In search of nectar.It is often a common garden visitor."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
16044	Butterflies of the Carolinas	" open woodlands, forest edges and clearings,roadsides, utility easements, old fields and roadsides"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
16045	Butterflies of the Carolinas	"A butterfly of pine and oak barrens andadjacent meadows;  sandy pine barrens, woodland meadows"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
16046	Butterflies of the Carolinas	" This small woodland skipper;   open woodlands, forest edges, clearings andtrails, roadsides and along forested stream margins"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
16048	Butterflies of the Carolinas	" open oak woodlands and scrub, forest edgesand clearings, roadsides and adjacent open sites"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
16049	Butterflies of the Carolinas	" The Yehl Skipper is rare to uncommon largebutterfly of southeastern forested swamps or moistwoodlands. It is most frequently encountered in sunlitclearings, margins or roadsides;  forested swamps and associated clearings andmargins"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
16050	Butterflies of the Carolinas	" A butterfly of open, dry habitats, theDusted Skipper is uncommon and typically quite localized in occurrence; dry habitats including open woodlands, barrens,utility easements and old fields"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
16051	Butterflies of the Carolinas	" A butterfly of open, dry habitats, theDusted Skipper is uncommon and typically quite localized in occurrence.; dry habitats including open woodlands, barrens,utility easements and old fields"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
16052	Butterflies of the Carolinas	" open wet meadows in sandhills; An inhabitant of moist, open meadows with fewtrees,"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
16053	Butterflies of the Carolinas	" Itreadily ventures into disturbed sites near its habitatand shows up occasionally in home gardens. TheHoary Edge is common, but rarely found in any largenumbers;  open, sandy woodlands, forest edges and adjacent disturbed, brushy areas"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
16054	Butterflies of the Carolinas	"open, moist, grassy areas, wet meadows, pinesavannas, roadsides"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
16055	Butterflies of the Carolinas	" Although only recently established in southFlorida, the Dorantes Skipper is now a common butterfly of forest edges and adjacent open, disturbed sitesthere. It is an uncommon vagrant to South Carolina.;  It is often abundant inhome gardens.; open woodlands, roadsides, old fields, fallowagricultural land, utility easements, forest edges andgardens"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
16056	Butterflies of the Carolinas	"Generally uncommon in the Carolinas, it may beencountered in large open fields that support tailgrasses.;  open, grassy areas including old fields, roadsides, wet meadows, woodland clearings and margins"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
16057	Butterflies of the Carolinas	"The butterfly can be encountered in a wide range ofhabitats including suburban gardens.;  marshes, pond margins, forest edges, roadsides, old fields, utility easements and gardens"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
16058	Butterflies of the Carolinas	" woodlands, forest clearings and margins"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
